ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
CBL,CBL Corporation Limited Foreign Exempt NZX,Financials,"664,894,000",0.032,,
CCA,Change Financial Limited,Information Technology,"55,256,600",0.003,,
CCE,Carnegie CLN Energy,Utilities,"83,562,100",0.004,,
CCG,Commschoice,Information Technology,"18,481,100",0.001,,
CCJ,County International,Energy,"2,636,900",0.000,,
CCL,Coca-Cola Amatil,Consumer Staples,"6,429,120,000",0.311,,
CCP,Credit Corp Group,Financials,"905,040,000",0.044,,
CCV,Cash Converters,Consumer Discretionary,"165,205,000",0.008,,
CCZ,Castillo Copper Limited,Materials,"23,203,800",0.001,,
CD1,Cordish Dixon Pef I Ordinary Units FP,,"70,224,700",0.003,,
CD2,Cordish Dixon Pef Ii Ordinary Units FP,,"112,588,000",0.005,,
CD3,Cordish Dixon Pefiii Ordinary Units FP,,"113,085,000",0.005,,
CDA,Codan Limited,Information Technology,"523,673,000",0.025,,
CDB,Condor Blanco Mines,Materials,"1,248,560",0.000,,
CDC,China Dairy Limited Chess Depositary Interests 1:1,Consumer Staples,"48,503,800",0.002,,
CDD,Cardno Limited,Industrials,"616,273,000",0.030,,
CDG,Cleveland Min Limited,Materials,"27,878,500",0.001,,
CDH,Chongherr Investment,Materials,"526,436",0.000,,
CDM,Cadence Capital,,"405,396,000",0.020,,
CDP,Carindale Property Units FP,Real Estate,"535,500,000",0.026,,
CDT,Castle Minerals,Materials,"4,657,720",0.000,,
CDU,Cudeco Limited,Materials,"92,655,400",0.004,,
CDV,Cardinal Reso Limited,Materials,"173,549,000",0.008,,
CDY,Cellmid Limited,Health Care,"28,171,600",0.001,,
CE1,Calima Energy,Energy,"26,184,800",0.001,,
CEL,Challenger Energy,Energy,"6,620,940",0.000,,
CEN,Contact Energy Limited Foreign Exempt NZX,Utilities,"953,367,000",0.046,,
CETF,Vaneck China Ashare ETF Cdis 1:1,,"9,817,610",0.000,,
CFE,Cape Lambert Res Limited,Materials,"29,108,300",0.001,,
CFO,Cfoam Limited,Industrials,"13,842,600",0.001,,
CG1,Carbonxt Group,Materials,"31,440,000",0.002,,
CGA,Contango Asset,Financials,"28,916,800",0.001,,
CGC,Costa Group Holdings,Consumer Staples,"2,458,480,000",0.119,,
CGF,Challenger Limited,Financials,"7,873,930,000",0.381,,
CGL,The Citadel Group,Information Technology,"318,629,000",0.015,,
CGM,Cougar Metals NL,Materials,"5,506,820",0.000,,
CGN,Crater Gold Min Limited,Materials,"5,030,370",0.000,,
CGO,CPT Global Limited,Information Technology,"5,224,590",0.000,,
CGR,CML Group Limited,Industrials,"110,573,000",0.005,,
CGS,Cogstate Limited,Health Care,"85,770,100",0.004,,
CHC,Charter Hall Group Stapled Securities US Prohibited,Real Estate,"2,967,000,000",0.144,,
CHK,Cohiba Min Limited,Materials,"5,021,530",0.000,,
CHN,Chalice Gold Mines,Materials,"39,181,500",0.002,,
CHP,Chapmans Limited,Financials,"7,618,750",0.000,,
CHR,Chalmers Limited,Industrials,"28,171,800",0.001,,
CHZ,Chesser Resources,Materials,"11,126,300",0.001,,
CI1,Credit Intelligence,Energy,"14,767,700",0.001,,
CIA,Champion Iron Limited,Materials,"601,196,000",0.029,,
CIE,Contango Inc Gen Limited,,"99,051,200",0.005,,
CII,Ci Resources Limited,Materials,"209,202,000",0.010,,
CIM,Cimic Group Limited,Industrials,"13,365,800,000",0.647,,
CIN,Carlton Investments,Financials,"857,779,000",0.042,,
CINPA,Carlton Investments 7% Cumulative Preference,Financials,"166,786",0.000,,
CIO,Connected Io Limited,Information Technology,"15,094,600",0.001,,
CIP,Centuria I REIT Ordinary Units FP,Real Estate,"640,761,000",0.031,,
CIW,Clime Investment,Financials,"26,850,100",0.001,,
CIZ,Corizon Limited,,"6,300,000",0.000,,
CKA,Cokal Limited,Materials,"27,120,600",0.001,,
CKF,Collins Foods Limited,Consumer Discretionary,"642,901,000",0.031,,
CL1,Class Limited,Information Technology,"278,859,000",0.014,,
CL8,Collaborate Corp,Information Technology,"9,905,890",0.000,,
CLA,Celsius Resource Limited,Materials,"137,497,000",0.007,,
CLF,Concentrated Leaders,Financials,"73,360,900",0.004,,
CLH,Collection House,Industrials,"226,301,000",0.011,,
CLI,Croplogic,Industrials,"2,234,150",0.000,,
CLL,Collerina Cobalt,Materials,"68,616,800",0.003,,
CLQ,Clean TEQ Holdings Limited,Industrials,"760,950,000",0.037,,
CLT,Cellnet Group,Information Technology,"21,989,500",0.001,,
CLV,Clover Corporation,Health Care,"232,080,000",0.011,,
CLW,CHTR H LWR Stapled Securities,Real Estate,"975,661,000",0.047,,
CLX,Cti Logistics,Industrials,"77,138,800",0.004,,
CLY,Clancy Exploration,Materials,"12,497,500",0.001,,
CLZ,Classic Min Limited,Materials,"7,699,400",0.000,,
CM8,Crowd Mobile Limited,Consumer Discretionary,"14,742,100",0.001,,
CMA,Centuria Metro REIT Ordinary Units FP,Real Estate,"577,845,000",0.028,,
CMC,China Magnesium Corp,Materials,"5,314,420",0.000,,
CMD,Cassius Mining Limited,Materials,"14,891,000",0.001,,
CMI,CMI Limited,Industrials,"42,816,500",0.002,,
CMM,Capricorn Metals,Materials,"50,111,700",0.002,,
CMP,Compumedics Limited,Health Care,"127,557,000",0.006,,
CMW,Cromwell Prop Ordinary/Units FP Stapled Securities,Real Estate,"2,154,080,000",0.104,,
CMY,Capital Mining,Materials,"5,068,950",0.000,,
CND,Clarius Group Limited,Industrials,"5,016,600",0.000,,
CNI,Centuria Capital Stapled Securities,Financials,"435,854,000",0.021,,
CNJ,Conico Limited,Materials,"14,880,700",0.001,,
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,636,930,000",0.079,,
CNW,Cirrus Net Hold Limited,Information Technology,"17,494,100",0.001,,
MARKET CAP,SECTOR,EDIT LINK,DELETE LINK,#VALUE!,,
CNX,Carbon Energy,Energy,"9,090,690",0.000,,
COB,Cobalt Blue Limited,Materials,"114,413,000",0.006,,
COE,Cooper Energy Limited,Energy,"600,405,000",0.029,,
COG,Consolidated Ops GP,,"127,005,000",0.006,,
COH,Cochlear Limited,Health Care,"11,288,000,000",0.547,,
COI,Comet Ridge Limited,Energy,"243,594,000",0.012,,
COM,Comops Limited,Information Technology,"10,886,600",0.001,,
COO,Corum Group Limited,Information Technology,"7,685,030",0.000,,
CORE,ETFs GLB CORE Infra ETF Units FP,,"3,155,500",0.000,,
COY,Coppermoly Limited,Materials,"15,154,300",0.001,,
CP1,Cannpal Animal,Health Care,"9,058,260",0.000,,
CPH,Creso Pharma Limited,Health Care,"61,276,900",0.003,,
CPU,Computershare Limited,Information Technology,"9,414,850,000",0.456,,
CPV,Clearvue Technologie,Industrials,"9,518,870",0.000,,
CQG,Contango GLB GTH Limited,,"92,804,600",0.004,,
CQR,Charter Hall Retail Units FP,Real Estate,"1,699,540,000",0.082,,
CRB,Carbine Resources,Materials,"5,792,660",0.000,,
CRD,Credible Labs Chess Depositary Interests 25:1 US Prohibited,Financials,"129,366,000",0.006,,
CRL,Comet Resources,Materials,"9,396,000",0.000,,
CRM,Carbon Minerals Limited,Energy,"2,350,440",0.000,,
CRO,Cirralto Limited,Information Technology,"18,316,500",0.001,,
CRR,Conven Retail REIT Stapled Securities,Real Estate,"213,873,000",0.010,,
CSD,Consolidated Tin Min,Materials,"2,224,930",0.000,,
CSE,Copper Strike Limited,Materials,"22,971,600",0.001,,
CSK,Crowdspark Limited,Consumer Discretionary,"1,702,980",0.000,,
CSL,CSL Limited,Health Care,"84,078,500,000",4.073,,
CSR,CSR Limited,Materials,"2,531,630,000",0.123,,
CSS,Clean Seas Limited,Consumer Staples,"88,367,600",0.004,,
CSV,CSG Limited,Information Technology,"104,968,000",0.005,,
CT1,CCP Technologies Limited,Information Technology,"3,890,520",0.000,,
CTD,Corp Travel Limited,Consumer Discretionary,"2,612,390,000",0.127,,
CTE,Cryosite Limited,Health Care,"3,983,060",0.000,,
CTL,Centennial MNG Limited,Materials,"11,488,800",0.001,,
CTM,Centaurus Metals Limited,Materials,"29,890,800",0.001,,
CTO,Citigold Corp Limited,Materials,"19,152,500",0.001,,
CTP,Central Petroleum,Energy,"123,739,000",0.006,,
CTX,Caltex Australia,Energy,"7,673,050,000",0.372,,
CUE,CUE Energy Resource,Energy,"43,283,400",0.002,,
CUL,Cullen Resources,Materials,"5,197,120",0.000,,
CUP,Countplus Limited,Industrials,"76,529,100",0.004,,
CUV,Clinuvel Pharmaceut,Health Care,"579,983,000",0.028,,
CUX,Crossland Metals Limited,Materials,"6,069,880",0.000,,
CV1,CV Check Limited,Information Technology,"21,653,900",0.001,,
CVC,CVC Limited,Financials,"310,894,000",0.015,,
CVF,Contrarian Valfd Limited,,"75,942,600",0.004,,
CVN,Carnarvon Petroleum,Energy,"161,360,000",0.008,,
CVS,Cervantes Corp Limited,Materials,"4,389,150",0.000,,
CVT,Covata Limited,Information Technology,"19,468,600",0.001,,
CVV,Caravel Minerals Limited,Materials,"7,080,710",0.000,,
CVW,Clearview Wealth Limited,Financials,"735,089,000",0.036,,
CWL,Chant West Holdings,Information Technology,"6,196,190",0.000,,
CWN,Crown Resorts Limited,Consumer Discretionary,"9,156,790,000",0.444,,
CWP,Cedar Woods Prop,Real Estate,"508,906,000",0.025,,
CWX,Carawine Resources,Materials,"12,123,500",0.001,,
CWY,Cleanaway Waste Limited,Industrials,"3,319,800,000",0.161,,
CXM,Centrex Metals,Materials,"37,860,600",0.002,,
CXO,Core Exploration Limited,Materials,"33,580,400",0.002,,
CXU,Cauldron Energy Limited,Energy,"10,537,300",0.001,,
CXX,Cradle Resources Limited,Materials,"16,277,700",0.001,,
CXZ,Connexion Media Limited,Information Technology,"4,384,830",0.000,,
CY5,CYGNUS Gold Limited,Materials,"7,217,000",0.000,,
CYA,Century Australia,Financials,"88,612,700",0.004,,
CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,Financials,"3,749,390,000",0.182,,
CYC,Cyclopharm Limited,Health Care,"68,595,600",0.003,,
CYG,Coventry Group,Industrials,"47,522,800",0.002,,
CYL,Catalyst Metals,Materials,"86,062,800",0.004,,
CYP,Cynata Therapeutics,Health Care,"118,290,000",0.006,,
CYQ,CYCLIQ Group Limited,Consumer Discretionary,"7,919,740",0.000,,
CZI,Cassini Resources,Materials,"17,969,600",0.001,,
CZL,Cons ZINC Limited,Materials,"7,266,170",0.000,,
CZN,Corazon Limited,Materials,"12,652,800",0.001,,
CZR,Coziron Resources,Materials,"30,354,400",0.001,,
CZZ,Capilano Honey Limited,Consumer Staples,"157,467,000",0.008,,
D13,Department 13 Intl,Industrials,"52,382,100",0.003,,
D2O,Duxton Water Limited,Utilities,"86,379,800",0.004,,
DAF,Discovery Africa Limited,Materials,"3,097,990",0.000,,
DAU,Dampier Gold Limited,Materials,"2,802,560",0.000,,
DAV,Davenport Resources,Materials,"2,917,750",0.000,,
DBF,Duxton Broadacre,Financials,"69,653,900",0.003,,
DCC,Digitalx Limited,Information Technology,"60,858,200",0.003,,
DCG,Decmil Group Limited,Industrials,"199,884,000",0.010,,
DCL,Domacom Limited,Financials,"5,994,900",0.000,,
DCN,Dacian Gold Limited,Materials,"592,833,000",0.029,,
DDD,3D Resources Limited,Materials,"3,293,780",0.000,,
DDR,Dicker Data Limited,Information Technology,"478,384,000",0.023,,
DDT,Datadot Technology,Consumer Discretionary,"3,242,420",0.000,,
DEG,De Grey Mining,Materials,"75,255,500",0.004,,
DEM,De.Mem Limited,Utilities,"6,844,850",0.000,,
DEV,DEVEX Resources Limited,Energy,"5,295,720",0.000,,
DFM,Dongfang Modern AG,Consumer Staples,"580,092,000",0.028,,
DGH,Desane Group Holdings,Real Estate,"43,885,300",0.002,,
DGO,DGO Gold Limited,Materials,"10,866,500",0.001,,
DGR,DGR Global Limited,Materials,"57,025,900",0.003,,
DGX,Diploma Group Limited,Industrials,"2,833,400",0.000,,
DHG,Domain Holdings Aus,Information Technology,"1,886,610,000",0.091,,
DHR,Dark Horse Resources,Materials,"36,836,900",0.002,,
DIG,Asia Pac Digital Limited,Consumer Discretionary,"8,569,850",0.000,,
DIV,Ubs IQ Mstar Aus DIV ETF Units FP,,"11,954,900",0.001,,
DJRE,SPDR DJ Global REIT ETF Units FP,,"225,742,000",0.011,,
DJW,Djerriwarrh,Financials,"760,063,000",0.037,,
DKM,Duketon Mining,Materials,"29,462,400",0.001,,
DLC,Delecta Limited,Consumer Discretionary,"3,800,980",0.000,,
DLX,Duluxgroup Limited,Materials,"2,899,910,000",0.140,,
DMA,Dynasty Resources,Materials,"30,379,600",0.001,,
DMC,Digimatic Group Limited Chess Depositary Interests 1:1,Information Technology,"19,174,100",0.001,,
DME,Dome Gold Mines Limited,Materials,"40,354,800",0.002,,
DMG,Dragon Mountain Gold,Materials,"3,689,430",0.000,,
DMI,Dempsey Minerals,Materials,"13,317,100",0.001,,
DMKT,Ampcap Dynamic MKTHF Trading Managed Fund Units FP,,"28,438,700",0.001,,
DMP,Domino PIZZA Enterpr,Consumer Discretionary,"4,202,660,000",0.204,,
DN8,Dreamscape Netwk Limited,Information Technology,"52,349,400",0.003,,
DNA,Donaco International,Consumer Discretionary,"140,251,000",0.007,,
DNK,Danakali Limited,Materials,"165,843,000",0.008,,
DOR,Doriemus Plc Chess Depositary Interests 1:1,Energy,"4,033,610",0.000,,
DOW,Downer Edi Limited,Industrials,"4,174,810,000",0.202,,
DRA,Dragon Mining Limited,Materials,"19,989,100",0.001,,
DRG,Draig Resources Limited,Materials,"75,487,100",0.004,,
DRK,Drake Resources,Materials,"5,670,940",0.000,,
DRM,Doray Minerals Limited,Materials,"147,406,000",0.007,,
DRO,Droneshield Limited,Information Technology,"13,934,300",0.001,,
DRUG,Beta Global Health ETF Units FP,,"22,242,500",0.001,,
DRX,Diatreme Resources,Materials,"21,764,000",0.001,,
DSE,Dropsuite Limited,Information Technology,"10,217,500",0.000,,
DSX,Decimal Software Limited,Information Technology,"6,315,460",0.000,,
DTI,DTI Group Limited,Information Technology,"10,755,900",0.001,,
DTL,Data#3 Limited,Information Technology,"250,979,000",0.012,,
DTM,Dart Mining NL,Materials,"5,139,370",0.000,,
DTR,Dateline Resources,Materials,"17,243,900",0.001,,
DTS,Dragontail Systems,Information Technology,"17,467,900",0.001,,
DTZ,DOTZ Nano Limited,Information Technology,"7,467,110",0.000,,
DUB,Dubber Corp Limited,Information Technology,"48,730,300",0.002,,
DUI,Diversified United,Financials,"845,662,000",0.041,,
DVL,Dorsavi Limited,Health Care,"25,187,700",0.001,,
DVN,Devine Limited,Real Estate,"54,762,000",0.003,,
DW8,Dawine Limited,Consumer Discretionary,"2,218,120",0.000,,
DWS,DWS Limited,Information Technology,"171,381,000",0.008,,
DXB,Dimerix Limited,Health Care,"14,419,600",0.001,,
DXN,The Data Exchange,Information Technology,"30,445,100",0.001,,
DXS,Dexus Units FP Stapled,Real Estate,"10,060,100,000",0.487,,
DYL,Deep Yellow Limited,Energy,"53,512,300",0.003,,
E25,Element 25 Limited,Materials,"18,362,200",0.001,,
E2E,Eon NRG Limited,Energy,"4,470,280",0.000,,
E2M,E2 Metals,Materials,"4,805,960",0.000,,
E88,Ensogo Limited,Consumer Discretionary,"25,433,300",0.001,,
EAF,Evanspartnersasiafnd Ordinary Units FP,,"159,021,000",0.008,,
EAI,Ellerston Asian,,"118,423,000",0.006,,
EAR,Echo Resources,Materials,"122,162,000",0.006,,
EAS,Easton Investments,Financials,"33,109,400",0.002,,
EAX,Energy Action Limited,Industrials,"19,206,000",0.001,,
EBG,Eumundi Group Limited,Consumer Discretionary,"32,316,300",0.002,,
EBO,Ebos Group Limited,Health Care,"2,539,780,000",0.123,,
ECG,Ecargo HLDG Chess Depositary Interest 1:1,Industrials,"129,202,000",0.006,,
ECX,Eclipx Group Limited,Financials,"1,088,720,000",0.053,,
ED1,Evans Dixon,Financials,"528,826,000",0.026,,
EDC,Eildon Capital Limited,Financials,"46,940,500",0.002,,
EDE,Eden INV Limited,Energy,"100,812,000",0.005,,
EEG,Empire Energy Limited,Energy,"45,548,500",0.002,,
EER,East Energy Resource,Energy,"2,495,370",0.000,,
EEU,Betashares Euro ETF ETF Units FP,,"8,046,000",0.000,,
EFE,Eastern Iron,Materials,"3,690,110",0.000,,
EGA,Egan Street Res Limited,Materials,"30,804,200",0.001,,
EGD,E&P GBL Disruption Ordinary Units FP,,"253,447,000",0.012,,
EGG,Enero Group Limited,Consumer Discretionary,"85,605,000",0.004,,
EGH,Eureka Group Limited,Real Estate,"58,659,600",0.003,,
EGI,Ellerston Global INV,,"115,645,000",0.006,,
EGL,Environmental Group,Industrials,"8,637,270",0.000,,
EGN,Engenco Limited,Industrials,"156,690,000",0.008,,
EGO,Empire Oil & Gas,Energy,"12,288,600",0.001,,
EGS,Eastern Goldfields,Materials,"102,841,000",0.005,,
EGY,Energy Tech Limited,Industrials,"1,741,230",0.000,,
EHE,Estia Health Limited,Health Care,"852,171,000",0.041,,
EHH,Eagle HLTH Holdings Limited,Consumer Staples,"93,936,800",0.005,,
EHL,Emeco Holdings,Industrials,"1,112,600,000",0.054,,
EHX,Ehr Resources,Materials,"11,255,000",0.001,,
EIGA,Einvest Income Trading Managed Units FP,,"15,045,400",0.001,,
EINC,Betalm Equity Income Trading Managed Units FP,,"9,795,130",0.000,,
ELD,Elders Limited,Consumer Staples,"1,024,260,000",0.050,,
ELK,ELK Petroleum,Energy,"111,608,000",0.005,,
ELO,Elmo Software,Information Technology,"118,786,000",0.006,,
ELS,Elsight Limited,Information Technology,"27,818,700",0.001,,
ELT,Elementos Limited,Materials,"7,719,640",0.000,,
ELX,ELLEX Medical Lasers,Health Care,"81,852,600",0.004,,
EM1,Emerge Gaming Limited,Materials,"5,188,220",0.000,,
EM2,Eagle Mountain,Materials,"26,399,700",0.001,,
EMB,Embelton Limited,Industrials,"29,778,400",0.001,,
EME,Energy Metals Limited,Energy,"23,065,200",0.001,,
EMF,Emerging Master Fund Ordinary Units FP,,"189,226,000",0.009,,
EMG,Emergent Resources,Materials,"2,042,920",0.000,,
EMH,European Metals HLDG Chess Depositary Interests 1:1,Materials,"49,101,700",0.002,,
EMKT,Vaneck Emerging MKT ETF Units FP,,"4,040,000",0.000,,
EML,EML Payments Limited,Financials,"309,367,000",0.015,,
EMP,Emperor Energy Limited,Energy,"1,815,720",0.000,,
EMR,Emerald Res NL,Materials,"82,338,800",0.004,,
EMU,EMU NL,Materials,"5,543,280",0.000,,
EN1,Engage:BDR Limited,Information Technology,"41,415,300",0.002,,
ENA,Ensurance Limited,Financials,"6,751,440",0.000,,
ENB,Eneabba Gas Limited,Utilities,"4,717,190",0.000,,
ENC,Enice Holding Co Chess Depositary Interests 1:1,Telecommunication Services,"112,796,000",0.005,,
ENN,Elanor Investors Group Stapled Securities FP,Consumer Discretionary,"188,125,000",0.009,,
ENR,Encounter Resources,Materials,"11,904,500",0.001,,
ENT,Enterprise Metals,Materials,"8,180,010",0.000,,
ENX,Enegex Limited,Energy,"1,449,000",0.000,,
EOL,Energy One Limited,Information Technology,"17,900,000",0.001,,
EOR,En Oil Gas Limited,Energy,"3,278,480",0.000,,
EOS,Electro Optic SYS,Industrials,"277,318,000",0.013,,
EPA,Ephraim Res Limited,,"3,080,000",0.000,,
EPD,Empired Limited,Information Technology,"75,236,600",0.004,,
EPM,Eclipse Metals,Energy,"5,743,370",0.000,,
EPW,Erm Power Limited,Utilities,"395,018,000",0.019,,
EQE,EQUUS Mining Limited,Materials,"23,385,300",0.001,,
EQT,Equity HL,Financials,"416,030,000",0.020,,
EQX,Equatorial Res Limited,Materials,"39,822,500",0.002,,
ERA,Energy Resources 'A',Energy,"264,040,000",0.013,,
ERF,Elanoretl Property Stapled Securities,Real Estate,"167,349,000",0.008,,
ERL,Empire Resources,Materials,"6,281,620",0.000,,
ERM,Emmerson Resources,Materials,"37,714,300",0.002,,
ESE,Esense-Lab Limited Chess Depositary Interests 1:1,Health Care,"2,612,020",0.000,,
ESGI,Vaneck ESG Internatl ETF Units FP,,"4,170,000",0.000,,
ESH,Esports Mogul Asia,Information Technology,"22,723,500",0.001,,
ESI,ENV Clean Tech Limited,Industrials,"74,088,300",0.004,,
ESK,Etherstack Plc Chess Depositary Interests 1:1,Information Technology,"22,337,100",0.001,,
ESM,Esperance Minerals,Materials,"2,836,480",0.000,,
ESR,Estrella Res Limited,Materials,"9,444,230",0.000,,
ESTX,ETFSEUROSTOXX50 ETF Units FP,,"67,049,600",0.003,,
ESV,Eservglobal Limited,Information Technology,"140,562,000",0.007,,
ETE,Entek Energy Limited,Energy,"5,180,390",0.000,,
ETF,Ubs IQ Mstar Aus ETF Units FP,,"8,312,280",0.000,,
ETHI,Betasustainability ETF Units FP,,"180,206,000",0.009,,
ETPMAG,ETFs Physical Silver,,"58,603,700",0.003,,
ETPMPD,ETFs Physical Palladium,,"1,272,190",0.000,,
ETPMPM,ETFs Physical PM Basket,,"5,118,610",0.000,,
ETPMPT,ETFs Physical Platinum,,"2,999,930",0.000,,
EUC,European Cobalt Limited,Materials,"63,220,900",0.003,,
EUR,European Lithium Limited,Materials,"86,530,400",0.004,,
EVE,EVE Investments Limited,Financials,"22,358,000",0.001,,
EVM,Enviromission Limited,Utilities,"56,342,300",0.003,,
EVN,Evolution Mining Limited,Materials,"5,517,920,000",0.267,,
EVO,Evolve Education Group Foreign Exempt NZX,Consumer Discretionary,"116,338,000",0.006,,
EVS,Envirosuite Limited,Information Technology,"15,010,700",0.001,,
EVT,Event Hospitality,Consumer Discretionary,"2,287,940,000",0.111,,
EVZ,EVZ Limited,Industrials,"28,229,200",0.001,,
EWC,Energy World Corpor,Utilities,"359,126,000",0.017,,
EWE,East West Energy Limited,Energy,"7,567,660",0.000,,
EX20,BETAAUSEX20 ETF Units FP,,"32,045,100",0.002,,
EXG,Excelsior Gold Limited,Materials,"35,931,500",0.002,,
EXL,Elixinol Global,Consumer Staples,"41,759,000",0.002,,
EXO,ENNOX Group Limited,Financials,"2,210,640",0.000,,
EXP,Experience Co Limited,Consumer Discretionary,"356,886,000",0.017,,
EXR,Elixir Petroleum Limited,Energy,"14,615,500",0.001,,
EXU,Explaurum Limited,Materials,"47,271,200",0.002,,
EZL,EUROZ Limited,Financials,"193,187,000",0.009,,
FAIR,Betaausustainability ETF Units FP,,"116,626,000",0.006,,
FAR,FAR Limited,Energy,"507,923,000",0.025,,
FBR,Fastbrick Robotics,Industrials,"185,692,000",0.009,,
FBU,Fletcher Building Foreign Exempt NZX,Materials,"5,239,550,000",0.254,,
FCC,First Cobalt Corp Chess Depositary Interests 1:1,Materials,"60,885,800",0.003,,
FCG,Frontier Capital Group,Consumer Discretionary,"19,103,200",0.001,,
FCR,Ferrum Crescent Limited,Materials,"9,694,920",0.000,,
FCT,Firstwave Cloud Tech,Information Technology,"55,876,600",0.003,,
FDIV,Vaneck Franked DIV ETF Units FP,,"3,764,420",0.000,,
FDM,Freedom Oil Gas,Energy,"250,348,000",0.012,,
FDV,Frontier Digital Limited,Information Technology,"90,466,700",0.004,,
FDX,Frontier Diamonds,Materials,"6,157,310",0.000,,
FE8,Faster Enterprises,Real Estate,"3,548,330",0.000,,
FEI,Fe INV Group Limited,Information Technology,"17,965,800",0.001,,
FEL,Fe Limited,Materials,"9,684,580",0.000,,
FET,Folkestone Edu Trust Units FP,Real Estate,"672,632,000",0.033,,
FFC,Farmaforce Limited,Health Care,"2,173,560",0.000,,
FFG,Fatfish Internet Group,Financials,"15,394,700",0.001,,
FFI,F.F.I. Holdings,Consumer Staples,"42,835,500",0.002,,
FGF,First Growth Funds,,"16,455,600",0.001,,
FGG,Future GLB Invest Co,,"389,388,000",0.019,,
FGO,Flamingo Ai Limited,Information Technology,"44,122,300",0.002,,
FGR,First Graphene Limited,Materials,"62,829,500",0.003,,
FGX,Future Gen Limited,,"435,676,000",0.021,,
FHS,Freehill Mining Limited,Materials,"9,673,160",0.000,,
FID,Fiducian Group Limited,Financials,"134,437,000",0.007,,
FIG,Freedom Insurance,Financials,"103,081,000",0.005,,
FIN,FIN Resources Limited,Energy,"5,352,140",0.000,,
FLC,Fluence Corporation,Industrials,"159,878,000",0.008,,
FLK,Folkestone Limited,Real Estate,"165,638,000",0.008,,
FLN,Freelancer Limited,Information Technology,"199,161,000",0.010,,
FLOT,Vaneck Au Float Rate ETF Units FP,,"81,297,600",0.004,,
FLT,Flight Centre Travel,Consumer Discretionary,"6,227,940,000",0.302,,
FMG,Fortescue Metals Group,Materials,"14,603,700,000",0.707,,
FML,Focus Minerals Limited,Materials,"51,169,600",0.002,,
FMS,Flinders Mines Limited,Materials,"319,860,000",0.015,,
FND,Finders Resources,Materials,"173,528,000",0.008,,
FNP,Freedom Food Limited,Consumer Staples,"1,407,790,000",0.068,,
FNT,Frontier Resources,Materials,"1,355,600",0.000,,
FOD,The Food Revolution,Consumer Staples,"23,873,600",0.001,,
FOOD,Beta Global Agri ETF Units FP,,"17,805,000",0.001,,
FOR,Forager Aust SHS FND Ordinary Units FP,,"185,113,000",0.009,,
FPC,Fat Prophets GBL Limited,,"44,499,800",0.002,,
FPH,Fisher & Paykel H Foreign Exempt NZX,Health Care,"6,982,080,000",0.338,,
FPL,Fremont Petroleum,Energy,"5,417,360",0.000,,
FPP,Fat Prophets G P F Ordinary Units FP,,"16,227,700",0.001,,
FRC,Forte Consolidated,Materials,"9,235,960",0.000,,
FRI,Finbar Group Limited,Real Estate,"257,231,000",0.012,,
FRM,Farm Pride Foods,Consumer Staples,"46,903,100",0.002,,
FRN,Fraser Range Metals,Materials,"4,750,000",0.000,,
FRX,Flexiroam Limited,Telecommunication Services,"11,621,400",0.001,,
FSA,FSA Group Limited,Financials,"162,620,000",0.008,,
FSF,Fonterra Share Fund Ordinary Units FP Foreign Exempt NZX,Consumer Staples,"614,576,000",0.030,,
FSG,Field Solu Holdings Limited,Telecommunication Services,"10,320,300",0.000,,
FSI,Flagship Investments,Financials,"40,804,400",0.002,,
FTC,Fintech Chain Limited Chess Depositary Interests 1:1,Information Technology,"93,125,600",0.005,,
FTT,Factor Theraptcs Limited,Health Care,"40,882,400",0.002,,
FTZ,Fertoz Limited,Materials,"17,542,700",0.001,,
FUEL,Beta Global Energy ETF Units FP,,"18,205,500",0.001,,
FUN,Funtastic Limited,Consumer Discretionary,"13,483,200",0.001,,
FWD,Fleetwood Corp,Consumer Discretionary,"122,150,000",0.006,,
FXJ,Fairfax Media Limited,Consumer Discretionary,"1,632,630,000",0.079,,
FXL,Flexigroup Limited,Financials,"830,895,000",0.040,,
FYA,Fortune Asia Group Limited,Materials,"1,125,000",0.000,,
FYI,FYI Resources Limited,Materials,"20,448,900",0.001,,
FZO,Family ZONE Cyber,Information Technology,"59,530,400",0.003,,
FZR,Fitzroy River Corp,Energy,"22,997,200",0.001,,
G1A,Galena Mining,Materials,"32,349,000",0.002,,
G88,Golden Mile Res Limited,Materials,"17,662,500",0.001,,
GAL,Galileo Mining Limited,Materials,"27,490,500",0.001,,
GAP,Gale Pacific Limited,Consumer Discretionary,"102,543,000",0.005,,
GAS,State GAS Limited,Energy,"5,713,500",0.000,,
GBA,Grandbridge Limited,Financials,"612,667",0.000,,
GBE,Globe Metals &Mining,Materials,"6,522,910",0.000,,
GBG,Gindalbie Metals Limited,Materials,"29,930,200",0.001,,
GBI,Genera Biosystems,Health Care,"19,343,900",0.001,,
GBM,GBM Gold Limited,Materials,"10,064,900",0.000,,
GBP,Global Petroleum,Energy,"6,079,590",0.000,,
GBR,Greatbould Resources,Materials,"19,659,900",0.001,,
GBT,GBST Holdings,Information Technology,"154,161,000",0.007,,
GBZ,GBM Rsources Limited,Materials,"4,317,840",0.000,,
