ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
AHG,Automotive Holdings,Consumer Discretionary,"921,912,000",0.045,,
AEV,Avenira Limited,Materials,"16,486,300",0.001,,
A200,BETAAUSTRALIA200ETF ETF Units FP,,"47,891,000",0.002,,
AAA,Betasharescashetf ETF Units FP,,"1,188,300,000",0.058,,
4CE,Force Com Limited,Materials,"24,355,100",0.001,,
1AL,Oneall International Limited,Consumer Discretionary,"122,550,000",0.006,,
3DP,Pointerra Limited,Information Technology,"19,025,200",0.001,,
A2M,The a2 Milk Company,Consumer Staples,"7,249,290,000",0.351,,
AJC,Acacia Coal Limited,Energy,"3,161,400",0.000,,
AJD,Asia Pacific Data Stapled Securities,Real Estate,"207,000,000",0.010,,
AJJ,Asian Amer Medical,Health Care,"35,464,000",0.002,,
AJL,AJ Lucas Group,Industrials,"255,033,000",0.012,,
AJM,Altura Mining Limited,Materials,"673,351,000",0.033,,
AJQ,Armour Energy Limited,Energy,"36,465,800",0.002,,
AJX,Alexium Int Group,Materials,"45,009,800",0.002,,
AJY,Asaplus Resources Chess Depositary Interests 1:1,Materials,"12,120,000",0.001,,
AKF,Ask Funding Limited,Financials,"2,704,180",0.000,,
AKG,Academies Aus Group,Consumer Discretionary,"56,654,300",0.003,,
AKM,Aspire Mining Limited,Materials,"45,525,400",0.002,,
AKN,Auking Mining Limited,Materials,"2,797,750",0.000,,
AKP,Audio Pixels Limited,Consumer Discretionary,"575,519,000",0.028,,
AL8,Alderan Resource Limited,Materials,"42,097,400",0.002,,
ALC,Alcidion Group Limited,Health Care,"32,212,300",0.002,,
ALF,Australian Leaders,Financials,"283,425,000",0.014,,
ALI,Argo Global Limited,Financials,"254,142,000",0.012,,
ALK,Alkane Resources Limited,Materials,"141,707,000",0.007,,
ALL,Aristocrat Leisure,Consumer Discretionary,"19,181,900,000",0.929,,
ALQ,Als Limited,Industrials,"3,673,440,000",0.178,,
ALT,Analytica Limited,Health Care,"24,245,500",0.001,,
ALU,Altium Limited,Information Technology,"2,725,560,000",0.132,,
ALX,Atlas Arteria Ordinary Stapled Securities,Industrials,"4,454,090,000",0.216,,
ALY,Alchemy Resource Limited,Materials,"5,637,370",0.000,,
AMA,AMA Group Limited,Consumer Discretionary,"511,617,000",0.025,,
AMB,Ambition Group Limited,Industrials,"9,403,930",0.000,,
AMC,Amcor Limited,Materials,"16,283,500,000",0.789,,
AMD,Arrow Minerals,Materials,"6,753,480",0.000,,
AME,Alto Metals Limited,Materials,"12,240,300",0.001,,
AMG,Ausmex Mining GP Limited,Materials,"9,410,380",0.000,,
AMH,Amcil Limited,Financials,"240,580,000",0.012,,
AMI,Aurelia Metals Limited,Materials,"513,528,000",0.025,,
AML,Aeon Metals Limited,Materials,"225,598,000",0.011,,
AMN,Agrimin Limited,Materials,"141,406,000",0.007,,
AMO,Ambertech Limited,Information Technology,"4,738,840",0.000,,
AMP,AMP Limited,Financials,"11,382,000,000",0.551,,
AMT,Allegra Orthopaedics,Health Care,"13,938,300",0.001,,
ANG,Austin Engineering,Industrials,"147,603,000",0.007,,
ANL,Amani Gold Limited,Materials,"17,227,800",0.001,,
ANN,Ansell Limited,Health Care,"3,736,510,000",0.181,,
ANO,Advance Nanotek Limited,Materials,"28,086,700",0.001,,
ANP,Antisense Therapeut,Health Care,"9,289,670",0.000,,
ANQ,Anaeco Limited,Industrials,"7,976,900",0.000,,
ANR,Anatara LS Limited,Health Care,"37,801,100",0.002,,
ANS,Austsino Res Group Limited,Materials,"69,475,900",0.003,,
ANW,Aus Tin Mining,Materials,"31,410,700",0.002,,
ANZ,ANZ Banking Group Limited,Financials,"78,754,200,000",3.815,,
AO1,Assetowl Limited,Information Technology,"2,537,640",0.000,,
AOA,Ausmon Resorces,Materials,"5,967,040",0.000,,
AOD,Aurora DIV Income Managed Fund Units,,"7,290,120",0.000,,
AOF,Australian Unity Off Ordinary Units FP,Real Estate,"385,912,000",0.019,,
AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"1,498,560,000",0.073,,
AOK,Austex Oil Limited,Energy,"9,550,960",0.000,,
AON,Apollo Minerals Limited,Materials,"42,000,300",0.002,,
AOP,Apollo Consolidated,Materials,"29,378,500",0.001,,
AOU,Auroch Minerals Limited,Materials,"8,439,310",0.000,,
AOW,American Patriot Oil,Energy,"6,705,680",0.000,,
APA,APA Group Units FP Stapled Securities,Utilities,"10,253,300,000",0.497,,
APC,Aust Potash Limited,Materials,"21,000,700",0.001,,
APD,Apn Property Group,Financials,"136,478,000",0.007,,
APE,A.P. Eagers Limited,Consumer Discretionary,"1,597,430,000",0.077,,
APG,Austpac Resources NL,Materials,"3,238,740",0.000,,
API,Australian Pharm,Health Care,"667,241,000",0.032,,
APL,Antipodes Global INV,,"425,828,000",0.021,,
APO,Apn Outdoor Group,Consumer Discretionary,"950,263,000",0.046,,
APT,Afterpay Touch,Information Technology,"1,703,010,000",0.082,,
APW,Aims Pror Sec Fund Ordinary Units FP,Real Estate,"73,192,600",0.004,,
APX,Appen Limited,Information Technology,"1,085,580,000",0.053,,
APZ,Aspen Group Ordinary/Units FP Stapled Securities,Real Estate,"91,710,200",0.004,,
AQC,Auspaccoal Limited,Materials,"36,187,200",0.002,,
AQD,Ausquest Limited,Materials,"14,190,300",0.001,,
AQF,Aus GOV INDEX Fund,Financials,"44,647,300",0.002,,
AQG,Alacer Gold Corp Chess Depositary Interests 1:1,Materials,"237,850,000",0.012,,
AQI,Alicanto Min Limited,Materials,"10,121,100",0.000,,
AQJ,Aus Asia Min Limited,Energy,"38,939",0.000,,
AQS,AQUIS Ent Limited,Consumer Discretionary,"1,821,680",0.000,,
AQX,Alice QUEEN Limited,Energy,"18,299,200",0.001,,
AQZ,Alliance Aviation,Industrials,"212,951,000",0.010,,
ARA,Ariadne Australia,Industrials,"134,777,000",0.007,,
ARB,ARB Corporation,Consumer Discretionary,"1,704,310,000",0.083,,
ARC,Aust Rural Cap Limited,Financials,"8,494,620",0.000,,
ARD,Argent Minerals,Materials,"11,566,400",0.001,,
ARE,Argonaut Resources,Materials,"32,642,000",0.002,,
ARF,Arena REIT Stapled Securities FP,Real Estate,"589,879,000",0.029,,
ARG,Argo Investments,,"5,546,170,000",0.269,,
ARH,Australasian Resour,Materials,"2,445,750",0.000,,
ARI,Acn 004410833 Limited,Materials,"64,620,500",0.003,,
ARL,Ardea Resources Limited,Materials,"94,881,000",0.005,,
ARM,Aurora Minerals Limited,Materials,"3,504,260",0.000,,
ARO,Astro Resources NL,Materials,"2,657,030",0.000,,
ARS,Alt Resources Limited,Materials,"9,991,750",0.000,,
ARU,Arafura Resource Limited,Materials,"56,999,800",0.003,,
ARV,Artemis Resources,Materials,"136,459,000",0.007,,
ARX,Arc Exploration Limited,Materials,"3,843,220",0.000,,
AS1,Angel Seafood,Consumer Staples,"12,303,400",0.001,,
ASB,Austal Limited,Industrials,"645,578,000",0.031,,
ASG,Autosports Group Limited,Consumer Discretionary,"341,700,000",0.017,,
ASH,Ashley Services Group,Industrials,"28,795,200",0.001,,
ASL,Ausdrill Limited,Materials,"916,251,000",0.044,,
ASN,Anson Resources Limited,Materials,"18,167,400",0.001,,
ASP,Aspermont Limited,Consumer Discretionary,"20,788,500",0.001,,
AST,Ausnet Services Limited,Utilities,"5,873,310,000",0.285,,
ASW,Advanced Share Limited,Financials,"31,632,400",0.002,,
ASX,ASX Limited,Financials,"11,737,700,000",0.569,,
ASY,Assemblebay Limited,Information Technology,"4,521,660",0.000,,
ATA,Atc Alloys Limited,Materials,"3,522,290",0.000,,
ATC,Altech Chem Limited,Materials,"68,246,500",0.003,,
ATL,Apollo Tourism,Consumer Discretionary,"292,031,000",0.014,,
ATM,Aneka Tambang Chess Depositary Interests 1:5,Materials,"910,921",0.000,,
ATP,Atlas Pearls Limited,Consumer Discretionary,"8,985,310",0.000,,
ATR,Astron Corp Limited Chess Depositary Interests 1:1,Materials,"28,169,700",0.001,,
ATS,Australis Oil & Gas,Energy,"361,919,000",0.018,,
ATT,Ante Real Estate TST Units FP,Real Estate,"46,326",0.000,,
ATU,Atrum Coal Limited,Materials,"26,637,700",0.001,,
AU1,The Agency Group Aus,Real Estate,"8,313,600",0.000,,
